time,curL,curR,velL,velR
0.0,0.59,9.0,-0.0551181102362204,-0.0551181102362204
0.15384615384615385,4.14,10.05,-0.2362204724409448,-0.2204724409448819
0.3076923076923077,10.71,10.71,-0.2519685039370079,-0.2125984251968504
0.46153846153846156,7.95,11.49,-0.2519685039370079,-0.2125984251968504
0.6153846153846154,10.71,9.39,-0.2519685039370079,-0.2125984251968504
0.7692307692307693,15.3,8.6,-0.2519685039370079,-0.2125984251968504
0.9230769230769231,12.67,9.0,-0.2519685039370079,-0.2125984251968504
1.076923076923077,9.13,5.71,-0.2519685039370079,-0.2125984251968504
1.2307692307692308,6.5,5.32,-0.2519685039370079,-0.2125984251968504
1.3846153846153846,8.73,5.19,-0.2519685039370079,-0.2125984251968504
1.5384615384615385,7.29,4.01,-0.2519685039370079,-0.2125984251968504
1.6923076923076925,7.42,3.22,-0.2519685039370079,-0.2125984251968504
1.8461538461538463,0.73,2.17,-0.2519685039370079,-0.2125984251968504
2.0,2.96,1.64,-0.2519685039370079,-0.2125984251968504
2.153846153846154,8.08,2.17,-0.2519685039370079,-0.2125984251968504
2.307692307692308,6.76,5.19,-0.2519685039370079,-0.2125984251968504
2.4615384615384617,8.47,5.58,-0.2519685039370079,-0.2125984251968504
2.6153846153846154,7.95,6.5,-0.2519685039370079,-0.2125984251968504
2.769230769230769,7.16,6.64,-0.2519685039370079,-0.2125984251968504
2.9230769230769234,9.66,6.24,-0.2519685039370079,-0.2125984251968504
3.076923076923077,7.03,4.66,-0.2519685039370079,-0.2125984251968504
3.230769230769231,9.0,3.48,-0.2519685039370079,-0.2125984251968504
3.384615384615385,9.78,4.93,-0.2519685039370079,-0.2125984251968504
3.5384615384615388,5.85,4.01,-0.2519685039370079,-0.2125984251968504
3.6923076923076925,3.22,2.96,-0.2519685039370079,-0.2125984251968504
3.8461538461538463,1.51,2.83,-0.2519685039370079,-0.2125984251968504
4.0,7.29,3.48,-0.2598425196850393,-0.2047244094488189
4.153846153846154,5.06,2.17,-0.2598425196850393,-0.2047244094488189
4.307692307692308,1.64,1.51,-0.2598425196850393,-0.2047244094488189
4.461538461538462,0.59,0.99,-0.2519685039370079,-0.1968503937007874
4.615384615384616,0.59,0.59,-0.2519685039370079,-0.2125984251968504
4.769230769230769,2.57,2.17,-0.2362204724409448,-0.2204724409448819
4.923076923076923,3.88,2.43,-0.2362204724409448,-0.2204724409448819
5.0769230769230775,4.66,2.04,-0.2519685039370079,-0.2125984251968504
5.230769230769231,1.64,0.59,-0.2440944881889763,-0.1496062992125984
5.384615384615385,7.29,0.59,-0.2362204724409448,-0.1181102362204724
5.538461538461538,5.71,0.59,-0.2204724409448819,-0.0944881889763779
5.6923076923076925,7.69,0.59,-0.2125984251968504,-0.0708661417322834
5.846153846153847,8.21,0.59,-0.2125984251968504,-0.0708661417322834
6.0,9.92,0.59,-0.2125984251968504,-0.0708661417322834
6.153846153846154,10.31,0.0,-0.2204724409448819,-0.0787401574803149
6.307692307692308,9.92,0.73,-0.2440944881889763,-0.1181102362204724
6.461538461538462,10.57,2.43,-0.5039370078740159,-0.2440944881889763
6.615384615384616,9.13,2.96,-0.5275590551181103,-0.2204724409448819
6.76923076923077,5.58,1.91,-0.5275590551181103,-0.2204724409448819
6.923076923076923,8.21,1.91,-0.5275590551181103,-0.2204724409448819
7.0769230769230775,7.95,2.04,-0.5275590551181103,-0.2204724409448819
7.230769230769231,5.98,0.59,-0.5275590551181103,-0.2204724409448819
7.384615384615385,4.8,0.59,-0.5275590551181103,-0.2204724409448819
7.538461538461539,8.87,0.59,-0.4803149606299212,-0.1417322834645669
7.6923076923076925,11.23,0.0,-0.4724409448818897,-0.1181102362204724
7.846153846153847,12.81,0.0,-0.4488188976377953,-0.0866141732283464
8.0,7.95,0.59,-0.4409448818897639,-0.0787401574803149
8.153846153846155,10.31,0.59,-0.4409448818897639,-0.0787401574803149
8.307692307692308,11.23,0.0,-0.4409448818897639,-0.0551181102362204
8.461538461538462,12.15,10.05,-0.4330708661417323,-0.0472440944881889
8.615384615384617,12.41,7.69,-0.4015748031496063,-0.0157480314960629
8.76923076923077,7.03,13.33,-0.2047244094488189,0.1889763779527559
8.923076923076923,6.76,14.91,-0.1338582677165354,0.2598425196850393
9.076923076923077,7.55,15.43,-0.0314960629921259,0.3622047244094488
9.230769230769232,0.0,15.3,0.1417322834645669,0.4724409448818897
9.384615384615385,0.0,14.38,0.1889763779527559,0.4803149606299212
9.538461538461538,0.0,11.89,0.2204724409448819,0.4960629921259842
9.692307692307693,0.0,11.49,0.2362204724409448,0.5039370078740159
9.846153846153847,0.0,10.31,0.2362204724409448,0.5039370078740159
10.0,0.0,9.52,0.2204724409448819,0.4881889763779527
10.153846153846155,0.0,9.66,0.2204724409448819,0.4881889763779527
10.307692307692308,0.0,10.97,0.2204724409448819,0.4881889763779527
10.461538461538462,0.0,13.73,0.2204724409448819,0.4881889763779527
10.615384615384617,0.0,11.62,0.2440944881889763,0.4960629921259842
10.76923076923077,0.0,10.44,0.2677165354330709,0.5039370078740159
10.923076923076923,1.64,10.44,0.3307086614173228,0.5196850393700788
11.076923076923077,1.25,8.73,0.4094488188976378,0.5196850393700788
11.230769230769232,0.0,7.95,0.4094488188976378,0.5196850393700788
11.384615384615385,0.0,9.78,0.3937007874015748,0.5039370078740159
11.538461538461538,0.59,8.21,0.3858267716535433,0.4960629921259842
11.692307692307693,0.0,8.47,0.3858267716535433,0.4960629921259842
11.846153846153847,0.59,8.34,0.3858267716535433,0.4960629921259842
12.0,0.0,8.21,0.3858267716535433,0.4960629921259842
12.153846153846155,1.51,7.95,0.4094488188976378,0.5196850393700788
12.307692307692308,1.25,7.03,0.4094488188976378,0.5196850393700788
12.461538461538462,0.0,6.9,0.3858267716535433,0.4960629921259842
12.615384615384617,0.0,9.26,0.3858267716535433,0.4960629921259842
12.76923076923077,0.0,9.26,0.3858267716535433,0.4960629921259842
12.923076923076923,0.0,8.6,0.3858267716535433,0.4960629921259842
13.076923076923078,0.0,7.29,0.3858267716535433,0.4960629921259842
13.230769230769232,0.0,8.47,0.4015748031496063,0.5196850393700788
13.384615384615385,0.99,8.34,0.4094488188976378,0.5196850393700788
13.53846153846154,1.78,8.6,0.4330708661417323,0.5039370078740159
13.692307692307693,2.3,7.42,0.4409448818897639,0.4960629921259842
13.846153846153847,2.04,7.42,0.4409448818897639,0.4960629921259842
14.0,1.91,6.37,0.4409448818897639,0.4881889763779527
14.153846153846155,1.51,6.64,0.4409448818897639,0.4881889763779527
14.307692307692308,1.25,5.45,0.4409448818897639,0.4881889763779527
14.461538461538462,2.43,5.58,0.4409448818897639,0.4881889763779527
14.615384615384617,2.43,7.42,0.4409448818897639,0.4881889763779527
14.76923076923077,1.64,5.32,0.4409448818897639,0.4881889763779527
14.923076923076923,4.01,8.08,0.4409448818897639,0.4881889763779527
15.076923076923078,3.88,7.42,0.4645669291338583,0.4724409448818897
15.230769230769232,1.51,3.35,0.4645669291338583,0.4724409448818897
15.384615384615385,4.53,7.29,0.4645669291338583,0.4724409448818897
15.53846153846154,1.12,4.93,0.4645669291338583,0.4724409448818897
15.692307692307693,1.25,4.01,0.4724409448818897,0.4724409448818897
15.846153846153847,3.22,6.11,0.4724409448818897,0.4724409448818897
16.0,1.38,4.27,0.4724409448818897,0.4724409448818897
16.153846153846153,6.24,5.71,0.4724409448818897,0.4724409448818897
16.30769230769231,1.38,2.43,0.4724409448818897,0.4724409448818897
16.461538461538463,3.61,3.22,0.4488188976377953,0.4409448818897639
