time,curL,curR,velL,velR
1681484121.0245268,0.0,0.59,0.0,0.0
1681484121.1846116,0.59,0.59,0.0,0.0
1681484121.3440847,0.0,0.59,0.0,0.0
1681484121.5042992,0.59,0.59,0.0,0.0
1681484121.6800325,0.0,0.59,0.0,0.0
1681484121.8555875,0.59,0.59,0.0,0.0
1681484122.0322564,0.0,0.59,0.0,0.0
1681484122.191699,0.0,0.59,0.0,0.0
1681484122.319757,0.59,0.59,0.0,0.0
1681484122.4319632,0.59,0.59,0.0,0.0
1681484122.5753632,0.59,0.59,0.0,0.0
1681484122.7191272,0.59,0.59,0.0,0.0
1681484122.8792992,0.59,0.59,0.0,0.0
1681484122.9914978,0.0,0.59,0.0,0.0
1681484123.1033354,0.0,0.59,0.0,0.0
1681484123.2637086,0.59,0.59,0.0,0.0
1681484123.424867,0.59,0.59,0.0,0.0
1681484123.5828102,0.59,0.59,0.0,0.0
1681484123.758845,0.59,0.59,0.0,0.0
1681484123.9351685,0.0,0.59,0.0,0.0
1681484124.1104283,0.59,0.59,0.0,0.0
1681484124.270532,0.0,0.59,0.0,0.0
1681484124.4310234,0.59,0.59,0.0,0.0
1681484124.5421443,0.59,0.59,0.0,0.0
1681484124.65434,0.59,0.59,0.0,0.0
1681484124.7985716,0.59,0.59,0.0,0.0
1681484124.9585435,0.0,0.59,0.0,0.0
1681484125.1025531,0.0,0.59,0.0,0.0
1681484125.2145505,0.0,0.59,0.0,0.0
1681484125.3581831,0.0,0.59,0.0,0.0
1681484125.5015306,0.59,0.59,0.0,0.0
1681484125.6616745,0.0,0.59,0.0,0.0
1681484125.8379085,0.59,0.59,0.0,0.0
1681484126.014129,0.59,0.59,0.0,0.0
1681484126.1733627,0.59,0.59,0.0,0.0
1681484126.3337457,0.0,0.59,0.0,0.0
1681484126.4456704,0.0,0.59,0.0,0.0
1681484126.5897653,0.59,0.59,0.0,0.0
1681484126.733287,0.59,0.59,0.0,0.0
1681484126.8937953,0.59,0.59,0.0,0.0
1681484127.0527606,0.59,0.59,0.0,0.0
1681484127.2132473,0.59,0.59,0.0,0.0
1681484127.3890796,0.0,0.59,0.0,0.0
1681484127.564799,0.0,0.59,0.0,0.0
1681484127.7408829,0.59,6.37,0.4845548152634767,-0.4845548152634767
1681484127.9163747,9.26,6.9,0.726832222895215,-0.726832222895215
1681484128.0766718,7.16,9.78,0.726832222895215,-0.726832222895215
1681484128.2362883,7.42,6.37,0.726832222895215,-0.726832222895215
1681484128.348727,5.19,9.92,0.726832222895215,-0.726832222895215
1681484128.4918878,10.57,9.0,0.726832222895215,-0.726832222895215
1681484128.6363506,12.67,10.83,0.726832222895215,-0.726832222895215
1681484128.780521,12.15,16.75,0.726832222895215,-0.726832222895215
1681484128.924654,15.43,15.56,0.726832222895215,-0.726832222895215
1681484129.0525155,11.1,12.67,0.726832222895215,-0.726832222895215
1681484129.163758,11.1,11.1,0.726832222895215,-0.726832222895215
1681484129.3081374,11.62,12.81,0.726832222895215,-0.726832222895215
1681484129.4680104,12.28,12.41,0.726832222895215,-0.726832222895215
1681484129.6441052,9.39,8.34,0.726832222895215,-0.726832222895215
1681484129.803412,10.31,11.1,0.726832222895215,-0.726832222895215
1681484129.963728,8.73,11.49,0.726832222895215,-0.726832222895215
1681484130.0750978,6.64,10.57,0.726832222895215,-0.726832222895215
1681484130.1878178,6.11,9.78,0.726832222895215,-0.726832222895215
1681484130.3308818,4.53,10.97,0.726832222895215,-0.726832222895215
1681484130.4913588,6.24,10.97,0.726832222895215,-0.726832222895215
1681484130.6676593,9.13,12.02,0.726832222895215,-0.726832222895215
1681484130.8426604,9.52,10.83,0.726832222895215,-0.726832222895215
1681484131.0191772,7.69,12.67,0.726832222895215,-0.726832222895215
1681484131.1945198,9.0,11.36,0.726832222895215,-0.726832222895215
1681484131.370961,11.23,11.49,0.726832222895215,-0.726832222895215
1681484131.530057,10.97,12.81,0.726832222895215,-0.726832222895215
1681484131.6904564,10.97,13.2,0.726832222895215,-0.726832222895215
