time,curL,curR,velL,velR
0.0,0.59,0.59,-0.4239854633555421,0.4239854633555421
0.1444242000579834,0.86,10.18,-0.4239854633555421,0.4239854633555421
0.28847289085388184,8.08,14.51,-0.4239854633555421,0.4239854633555421
0.44751906394958496,10.97,9.26,-0.4239854633555421,0.4239854633555421
0.624006986618042,10.83,10.97,-0.4239854633555421,0.4239854633555421
0.7999951839447021,7.82,4.14,-0.4239854633555421,0.4239854633555421
0.9759724140167236,16.22,13.33,-0.4239854633555421,0.4239854633555421
1.1515493392944336,8.34,10.05,-0.4239854633555421,0.4239854633555421
1.3276588916778564,17.01,16.61,-0.4239854633555421,0.4239854633555421
1.5040760040283203,13.07,9.78,-0.4239854633555421,0.4239854633555421
1.664102554321289,7.03,15.83,-0.4239854633555421,0.4239854633555421
1.8239703178405762,4.14,17.27,-0.4239854633555421,0.4239854633555421
1.9357490539550781,8.6,0.59,-0.4239854633555421,0.4239854633555421
2.0789988040924072,15.3,13.33,-0.4239854633555421,0.4239854633555421
2.2233099937438965,10.44,18.45,-0.4239854633555421,0.4239854633555421
2.382678985595703,16.61,15.3,-0.4239854633555421,0.4239854633555421
2.5436224937438965,12.67,7.82,-0.4239854633555421,0.4239854633555421
2.7035045623779297,9.92,13.73,-0.4239854633555421,0.4239854633555421
2.8786439895629883,10.57,20.42,-0.4239854633555421,0.4239854633555421
3.054938316345215,12.94,10.57,-0.4239854633555421,0.4239854633555421
3.2310307025909424,8.08,15.3,-0.4239854633555421,0.4239854633555421
3.4068210124969482,3.09,0.86,-0.4239854633555421,0.4239854633555421
3.566358804702759,13.07,12.28,-0.4239854633555421,0.4239854633555421
3.726198196411133,11.49,17.53,-0.4239854633555421,0.4239854633555421
3.8381736278533936,16.09,21.34,-0.4239854633555421,0.4239854633555421
3.9500701427459717,11.89,11.23,-0.4239854633555421,0.4239854633555421
4.094328880310059,16.75,12.41,-0.4239854633555421,0.4239854633555421
4.2542197704315186,14.78,20.68,-0.4239854633555421,0.4239854633555421
4.365854263305664,12.15,3.22,-0.4239854633555421,0.4239854633555421
4.5097572803497314,8.6,8.87,-0.4239854633555421,0.4239854633555421
4.654280662536621,17.27,16.75,-0.4239854633555421,0.4239854633555421
4.7977070808410645,12.81,20.95,-0.4239854633555421,0.4239854633555421
4.959531545639038,9.39,11.1,-0.4239854633555421,0.4239854633555421
5.1338489055633545,10.97,17.4,-0.4239854633555421,0.4239854633555421
5.310180187225342,10.57,20.95,-0.4239854633555421,0.4239854633555421
5.48575758934021,16.61,14.91,-0.4239854633555421,0.4239854633555421
5.661518812179565,9.26,15.83,-0.4239854633555421,0.4239854633555421
5.8216540813446045,15.17,22.26,-0.4239854633555421,0.4239854633555421
5.982478618621826,12.94,10.83,-0.4239854633555421,0.4239854633555421
6.09398889541626,17.53,16.75,-0.4239854633555421,0.4239854633555421
6.238032817840576,19.24,20.29,-0.4239854633555421,0.4239854633555421
6.380962610244751,11.49,9.78,-0.4239854633555421,0.4239854633555421
6.525485992431641,8.6,17.66,-0.4239854633555421,0.4239854633555421
6.685365200042725,16.61,20.03,-0.4239854633555421,0.4239854633555421
6.829100608825684,10.97,10.44,-0.4239854633555421,0.4239854633555421
6.940945625305176,15.3,15.69,-0.4239854633555421,0.4239854633555421
7.085221290588379,9.13,10.18,-0.4239854633555421,0.4239854633555421
7.229471206665039,18.71,18.45,-0.4239854633555421,0.4239854633555421
7.3889617919921875,12.67,10.57,-0.4239854633555421,0.4239854633555421
7.549823999404907,18.58,16.35,-0.4239854633555421,0.4239854633555421
7.676786661148071,11.62,19.76,-0.4239854633555421,0.4239854633555421
7.789254426956177,19.24,23.71,-0.4239854633555421,0.4239854633555421
7.932349920272827,13.59,10.05,-0.4239854633555421,0.4239854633555421
8.07724666595459,23.57,17.8,-0.4239854633555421,0.4239854633555421
8.348174095153809,21.6,23.18,-0.4239854633555421,0.4239854633555421
8.49263620376587,9.13,10.97,-0.4239854633555421,0.4239854633555421
8.812514543533325,11.62,15.83,-0.4239854633555421,0.4239854633555421
8.972097635269165,14.12,19.24,-0.4239854633555421,0.4239854633555421
